state,reopening,stay_at_home,travelers_quarantine,businss_closures,gathering_bans,resturant_limits,bar_closures,face_covering,primary_election,emergency_declaration,emergency_date
Alabama,Paused,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,-,Yes,3/13/20
Alaska,Proceeding with Reopening,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,Required for Certain Employees,-,Yes,3/9/20
Arizona,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,New Capacity Limits,Newly Closed,Required for Certain Employees; Allows Local Officials to Require for General Public,-,Yes,3/11/20
Arkansas,Paused,-,Lifted,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,-,Yes,3/11/20
California,New Restrictions Imposed,Statewide,-,New Business Closures or Limits,All Gatherings Prohibited,Newly Closed to Dine-in Service,Newly Closed,Required for General Public,-,Yes,3/4/20
Colorado,New Restrictions Imposed,Rolled Back to High Risk Groups,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,-,Yes,3/11/20
Connecticut,Proceeding with Reopening,Lifted,From Certain States (New),All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Postponed,Yes,3/10/20
Delaware,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Postponed,Yes,3/12/20
District of Columbia,Proceeding with Reopening,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,-,Yes,3/13/20
Florida,New Restrictions Imposed,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for Certain Employees,-,Yes,3/1/20
